Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
1,129,3,0,1,2
1,111,3,0,1,3
1,105,3,0,1,4
1,155,3,0,1,5
1,69,3,0,1,6
1,22,3,0,1,7
1,3,3,0,0,0
1,5,3,0,0,1
1,4,3,0,0,2
1,10,3,0,0,3
1,4,3,0,0,4
1,13,3,0,0,5
1,3,3,0,0,6
1,3,3,0,0,7
1,0,3,4,1,0
1,8,3,4,1,1
1,15,3,4,1,2
1,20,3,4,1,3
1,12,3,4,1,4
1,24,3,4,1,5
1,13,3,4,1,6
1,11,3,4,1,7
1,0,3,4,0,0
1,0,3,4,0,1
1,4,3,4,0,2
1,1,3,4,0,3
1,8,3,4,0,4
1,6,3,4,0,5
1,9,3,4,0,6
1,1,3,4,0,7
1,17,3,3,1,0
1,54,3,3,1,1
1,41,3,3,1,2
1,27,3,3,1,3
1,26,3,3,1,4
1,45,3,3,1,5
1,14,3,3,1,6
1,3,3,3,1,7
1,0,3,3,0,0
1,3,3,3,0,1
1,6,3,3,0,2
1,0,3,3,0,3
1,0,3,3,0,4
1,5,3,3,0,5
1,2,3,3,0,6
1,0,3,3,0,7
1,988,4,1,1,0
1,986,4,1,1,1
1,571,4,1,1,2
1,456,4,1,1,3
1,311,4,1,1,4
1,353,4,1,1,5
1,74,4,1,1,6
1,21,4,1,1,7
1,63,4,1,0,0
1,59,4,1,0,1
1,40,4,1,0,2
1,39,4,1,0,3
1,42,4,1,0,4
1,52,4,1,0,5
1,11,4,1,0,6
1,7,4,1,0,7
1,65,4,2,1,0
1,45,4,2,1,1
1,18,4,2,1,2
1,14,4,2,1,3
1,5,4,2,1,4
1,23,4,2,1,5
1,2,4,2,1,6
1,2,4,2,1,7
1,1,4,2,0,0
1,2,4,2,0,1
1,3,4,2,0,2
1,3,4,2,0,3
1,4,4,2,0,4
1,3,4,2,0,5
1,2,4,2,0,6
1,0,4,2,0,7
1,354,4,0,1,0
1,345,4,0,1,1
1,225,4,0,1,2
1,172,4,0,1,3
1,165,4,0,1,4
1,204,4,0,1,5
1,73,4,0,1,6
1,16,4,0,1,7
1,7,4,0,0,0
1,8,4,0,0,1
1,9,4,0,0,2
1,7,4,0,0,3
1,12,4,0,0,4
1,20,4,0,0,5
1,2,4,0,0,6
1,7,4,0,0,7
1,0,4,4,1,0
1,9,4,4,1,1
1,20,4,4,1,2
1,17,4,4,1,3
1,19,4,4,1,4
1,47,4,4,1,5
1,18,4,4,1,6
1,7,4,4,1,7
1,0,4,4,0,0
1,0,4,4,0,1
1,2,4,4,0,2
1,1,4,4,0,3
1,3,4,4,0,4
1,8,4,4,0,5
1,4,4,4,0,6
1,3,4,4,0,7
1,67,4,3,1,0
1,102,4,3,1,1
1,93,4,3,1,2
1,60,4,3,1,3
1,67,4,3,1,4
1,70,4,3,1,5
1,23,4,3,1,6
1,2,4,3,1,7
1,0,4,3,0,0
