Periode,Antal,Recidivhændelser,Tidligere_domme,Varighed_til_tilbagefald,Køn,Alder
0,12,0,3,2,1,6
0,2,0,3,2,0,0
0,3,0,3,2,0,1
0,5,0,3,2,0,2
0,6,0,3,2,0,3
0,9,0,3,2,0,4
0,3,0,3,2,0,5
0,2,0,3,2,0,6
0,56,0,4,2,1,0
0,43,0,4,2,1,1
0,28,0,4,2,1,2
0,33,0,4,2,1,3
0,46,0,4,2,1,4
0,10,0,4,2,1,5
0,4,0,4,2,1,6
0,2,0,4,2,0,0
0,1,0,4,2,0,1
0,1,0,4,2,0,2
0,3,0,4,2,0,3
0,8,0,4,2,0,4
0,0,0,4,2,0,5
0,2,0,4,2,0,6
0,86,0,5,2,1,0
0,63,0,5,2,1,1
0,59,0,5,2,1,2
0,49,0,5,2,1,3
0,44,0,5,2,1,4
0,20,0,5,2,1,5
0,7,0,5,2,1,6
0,2,0,5,2,0,0
0,3,0,5,2,0,1
0,3,0,5,2,0,2
0,4,0,5,2,0,3
0,8,0,5,2,0,4
0,4,0,5,2,0,5
0,1,0,5,2,0,6
0,11,0,1,2,1,0
0,17,0,1,2,1,1
0,8,0,1,2,1,2
0,6,0,1,2,1,3
0,5,0,1,2,1,4
0,0,0,1,2,1,5
0,0,0,1,2,1,6
0,0,0,1,2,0,0
0,1,0,1,2,0,1
0,1,0,1,2,0,2
0,0,0,1,2,0,3
0,1,0,1,2,0,4
0,0,0,1,2,0,5
0,0,0,1,2,0,6
0,136,2,6,2,1,0
0,56,2,6,2,1,1
0,73,2,6,2,1,2
0,59,2,6,2,1,3
0,82,2,6,2,1,4
0,46,2,6,2,1,5
0,20,2,6,2,1,6
0,18,2,6,2,0,0
0,10,2,6,2,0,1
0,11,2,6,2,0,2
0,12,2,6,2,0,3
0,23,2,6,2,0,4
0,12,2,6,2,0,5
0,9,2,6,2,0,6
0,84,2,0,2,1,0
0,62,2,0,2,1,1
0,48,2,0,2,1,2
0,51,2,0,2,1,3
0,86,2,0,2,1,4
0,42,2,0,2,1,5
0,11,2,0,2,1,6
0,12,2,0,2,0,0
0,3,2,0,2,0,1
0,8,2,0,2,0,2
0,7,2,0,2,0,3
0,15,2,0,2,0,4
0,11,2,0,2,0,5
0,3,2,0,2,0,6
0,86,2,2,2,1,0
0,45,2,2,2,1,1
0,40,2,2,2,1,2
0,39,2,2,2,1,3
0,69,2,2,2,1,4
0,33,2,2,2,1,5
0,12,2,2,2,1,6
0,7,2,2,2,0,0
0,1,2,2,2,0,1
0,4,2,2,2,0,2
0,4,2,2,2,0,3
0,8,2,2,2,0,4
0,7,2,2,2,0,5
0,2,2,2,2,0,6
0,67,2,3,2,1,0
0,34,2,3,2,1,1
0,38,2,3,2,1,2
0,29,2,3,2,1,3
0,51,2,3,2,1,4
0,24,2,3,2,1,5
0,10,2,3,2,1,6
0,3,2,3,2,0,0
0,2,2,3,2,0,1
0,4,2,3,2,0,2
0,4,2,3,2,0,3
0,6,2,3,2,0,4
0,0,2,3,2,0,5
0,1,2,3,2,0,6
0,53,2,4,2,1,0
0,35,2,4,2,1,1
0,27,2,4,2,1,2
0,25,2,4,2,1,3
0,31,2,4,2,1,4
0,9,2,4,2,1,5
0,4,2,4,2,1,6
0,1,2,4,2,0,0
0,1,2,4,2,0,1
0,1,2,4,2,0,2
0,1,2,4,2,0,3
0,7,2,4,2,0,4
0,1,2,4,2,0,5
0,1,2,4,2,0,6
0,113,2,5,2,1,0
0,70,2,5,2,1,1
0,55,2,5,2,1,2
0,41,2,5,2,1,3
0,66,2,5,2,1,4
0,10,2,5,2,1,5
0,6,2,5,2,1,6
0,2,2,5,2,0,0
0,1,2,5,2,0,1
0,4,2,5,2,0,2
0,1,2,5,2,0,3
0,6,2,5,2,0,4
0,1,2,5,2,0,5
0,1,2,5,2,0,6
0,17,2,1,2,1,0
0,11,2,1,2,1,1
0,8,2,1,2,1,2
0,8,2,1,2,1,3
0,9,2,1,2,1,4
0,2,2,1,2,1,5
0,0,2,1,2,1,6
0,0,2,1,2,0,0
0,0,2,1,2,0,1
0,0,2,1,2,0,2
0,0,2,1,2,0,3
0,3,2,1,2,0,4
0,1,2,1,2,0,5
0,0,2,1,2,0,6
0,67,3,6,2,1,0
0,20,3,6,2,1,1
0,24,3,6,2,1,2
0,26,3,6,2,1,3
0,36,3,6,2,1,4
0,15,3,6,2,1,5
0,7,3,6,2,1,6
0,8,3,6,2,0,0
0,3,3,6,2,0,1
0,2,3,6,2,0,2
0,3,3,6,2,0,3
0,11,3,6,2,0,4
0,2,3,6,2,0,5
0,1,3,6,2,0,6
0,57,3,0,2,1,0
0,39,3,0,2,1,1
0,29,3,0,2,1,2
0,15,3,0,2,1,3
0,44,3,0,2,1,4
0,24,3,0,2,1,5
0,8,3,0,2,1,6
0,7,3,0,2,0,0
0,4,3,0,2,0,1
0,1,3,0,2,0,2
0,2,3,0,2,0,3
0,1,3,0,2,0,4
0,1,3,0,2,0,5
0,0,3,0,2,0,6
0,49,3,2,2,1,0
0,37,3,2,2,1,1
0,17,3,2,2,1,2
0,31,3,2,2,1,3
0,44,3,2,2,1,4
0,13,3,2,2,1,5
0,5,3,2,2,1,6
0,5,3,2,2,0,0
0,3,3,2,2,0,1
0,4,3,2,2,0,2
0,3,3,2,2,0,3
0,2,3,2,2,0,4
0,3,3,2,2,0,5
0,1,3,2,2,0,6
